Country Name,Country Code,Year,average_value_Income share held by highest 10%
Argentina,ARG,2011,31.0
Senegal,SEN,2011,31.0
Tanzania,TZA,2011,31.0
Russian Federation,RUS,2011,31.1
Uruguay,URY,2011,31.6
China,CHN,2011,31.8
Indonesia,IDN,2011,32.1
Chad,TCD,2011,32.4
El Salvador,SLV,2011,32.8
Malaysia,MYS,2011,33.2
Peru,PER,2011,33.5
Bolivia,BOL,2011,33.7
Zimbabwe,ZWE,2011,33.8
Ecuador,ECU,2011,34.1
Benin,BEN,2011,34.5
Togo,TGO,2011,34.5
Costa Rica,CRI,2011,37.0
Chile,CHL,2011,37.3
Dominican Republic,DOM,2011,37.5
"Congo, Rep.",COG,2011,37.9
Honduras,HND,2011,39.7
Panama,PAN,2011,39.7
Paraguay,PRY,2011,41.4
Brazil,BRA,2011,41.7
Colombia,COL,2011,42.4
Slovak Republic,SVK,2012,20.5
Ukraine,UKR,2012,20.8
Norway,NOR,2012,20.9
Slovenia,SVN,2012,21.1
Sweden,SWE,2012,21.6
Belarus,BLR,2012,21.8
Belgium,BEL,2012,21.9
Iceland,ISL,2012,22.1
Czech Republic,CZE,2012,22.2
Finland,FIN,2012,22.3
Netherlands,NLD,2012,22.5
Albania,ALB,2012,22.9
Kazakhstan,KAZ,2012,22.9
Denmark,DNK,2012,23.1
Kyrgyz Republic,KGZ,2012,23.1
Malta,MLT,2012,23.4
Austria,AUT,2012,23.5
Kosovo,XKX,2012,23.5
Moldova,MDA,2012,23.6
Iraq,IRQ,2012,23.7
"Korea, Rep.",KOR,2012,23.8
Croatia,HRV,2012,23.9
Hungary,HUN,2012,23.9
Germany,DEU,2012,24.3
Armenia,ARM,2012,24.5
United Kingdom,GBR,2012,24.6
"Egypt, Arab Rep.",EGY,2012,24.8
Switzerland,CHE,2012,25.0
Canada,CAN,2012,25.2
Estonia,EST,2012,25.2
Poland,POL,2012,25.3
Romania,ROU,2012,25.5
Spain,ESP,2012,25.8
Ireland,IRL,2012,25.9
Mongolia,MNG,2012,26.2
Guinea,GIN,2012,26.4
Italy,ITA,2012,26.4
Luxembourg,LUX,2012,26.4
North Macedonia,MKD,2012,26.5
Greece,GRC,2012,26.6
Latvia,LVA,2012,26.6
Lithuania,LTU,2012,26.8
France,FRA,2012,26.9
Nauru,NRU,2012,27.3
Bulgaria,BGR,2012,27.4
Vietnam,VNM,2012,27.7
Portugal,PRT,2012,27.8
Cyprus,CYP,2012,28.0
Montenegro,MNE,2012,28.7
Serbia,SRB,2012,28.7
Lao PDR,LAO,2012,29.0
Solomon Islands,SLB,2012,29.2
Uruguay,URY,2012,29.2
Georgia,GEO,2012,29.3
Israel,ISR,2012,29.6
Argentina,ARG,2012,29.7
United States,USA,2012,30.2
Thailand,THA,2012,30.4
Turkey,TUR,2012,30.5
Bhutan,BTN,2012,30.7
Haiti,HTI,2012,31.2
China,CHN,2012,31.5
Mauritius,MUS,2012,31.6
Ghana,GHA,2012,31.8
Sri Lanka,LKA,2012,31.9
"Congo, Dem. Rep.",COD,2012,32.0
Russian Federation,RUS,2012,32.2
Indonesia,IDN,2012,32.3
El Salvador,SLV,2012,32.6
Uganda,UGA,2012,32.9
Peru,PER,2012,33.3
Madagascar,MDG,2012,33.5
Bolivia,BOL,2012,33.7
Djibouti,DJI,2012,34.4
Ecuador,ECU,2012,34.6
Dominican Republic,DOM,2012,36.0
Philippines,PHL,2012,36.3
Paraguay,PRY,2012,36.9
Costa Rica,CRI,2012,37.0
Mexico,MEX,2012,38.9
Panama,PAN,2012,39.7
Honduras,HND,2012,40.4
Colombia,COL,2012,41.3
Brazil,BRA,2012,42.6
Ukraine,UKR,2013,21.1
Iceland,ISL,2013,21.3
Norway,NOR,2013,21.3
Slovenia,SVN,2013,21.4
United Arab Emirates,ARE,2013,21.4
Belgium,BEL,2013,21.8
Kosovo,XKX,2013,22.0
Belarus,BLR,2013,22.1
Slovak Republic,SVK,2013,22.2
Sweden,SWE,2013,22.2
Finland,FIN,2013,22.3
Kazakhstan,KAZ,2013,22.5
Czech Republic,CZE,2013,22.6
Netherlands,NLD,2013,22.8
Malta,MLT,2013,23.1
Moldova,MDA,2013,23.3
Croatia,HRV,2013,23.7
Denmark,DNK,2013,23.7
Kyrgyz Republic,KGZ,2013,23.9
Luxembourg,LUX,2013,24.2
Austria,AUT,2013,24.3
Hungary,HUN,2013,24.4
Germany,DEU,2013,24.6
Armenia,ARM,2013,24.7
Canada,CAN,2013,25.1
United Kingdom,GBR,2013,25.3
North Macedonia,MKD,2013,25.4
Poland,POL,2013,25.4
Romania,ROU,2013,25.4
Switzerland,CHE,2013,25.5
Italy,ITA,2013,25.9
Spain,ESP,2013,25.9
Ireland,IRL,2013,26.1
Pakistan,PAK,2013,26.1
France,FRA,2013,26.4
Greece,GRC,2013,26.4
Japan,JPN,2013,26.4
Estonia,EST,2013,26.6
Latvia,LVA,2013,26.8
Lithuania,LTU,2013,27.1
Montenegro,MNE,2013,27.2
Portugal,PRT,2013,27.5
Bulgaria,BGR,2013,27.6
Serbia,SRB,2013,28.2
"Iran, Islamic Rep.",IRN,2013,29.0
Georgia,GEO,2013,29.1
Thailand,THA,2013,29.2
Argentina,ARG,2013,29.4
Fiji,FJI,2013,29.7
"Micronesia, Fed. Sts.",FSM,2013,29.7
United States,USA,2013,30.0
Uruguay,URY,2013,30.1
China,CHN,2013,30.3
Turkey,TUR,2013,30.6
Cyprus,CYP,2013,30.9
Burundi,BDI,2013,31.0
Samoa,WSM,2013,31.3
Malaysia,MYS,2013,31.8
Morocco,MAR,2013,31.9
Indonesia,IDN,2013,32.2
Russian Federation,RUS,2013,32.5
Peru,PER,2013,32.7
Djibouti,DJI,2013,34.1
El Salvador,SLV,2013,34.2
Bolivia,BOL,2013,35.2
Ecuador,ECU,2013,35.7
Honduras,HND,2013,37.0
Paraguay,PRY,2013,37.3
Chile,CHL,2013,37.4
Costa Rica,CRI,2013,37.4
Dominican Republic,DOM,2013,37.9
Rwanda,RWA,2013,37.9
Panama,PAN,2013,39.6
Seychelles,SYC,2013,39.9
Colombia,COL,2013,41.4
Brazil,BRA,2013,41.8
Slovak Republic,SVK,2014,20.3
Ukraine,UKR,2014,20.6
Slovenia,SVN,2014,21.2
Norway,NOR,2014,21.6
Finland,FIN,2014,22.0
Kosovo,XKX,2014,22.0
Czech Republic,CZE,2014,22.1
Moldova,MDA,2014,22.1
Sweden,SWE,2014,22.2
Belgium,BEL,2014,22.4
Belarus,BLR,2014,22.6
Kazakhstan,KAZ,2014,22.6
Kyrgyz Republic,KGZ,2014,22.9
Malta,MLT,2014,23.3
Netherlands,NLD,2014,23.3
Iceland,ISL,2014,23.5
Denmark,DNK,2014,23.6
"Korea, Rep.",KOR,2014,23.6
Croatia,HRV,2014,24.0
Hungary,HUN,2014,24.0
Timor-Leste,TLS,2014,24.0
Austria,AUT,2014,24.1
Germany,DEU,2014,24.1
Luxembourg,LUX,2014,24.3
Romania,ROU,2014,24.5
Ireland,IRL,2014,24.9
Mauritania,MRT,2014,24.9
North Macedonia,MKD,2014,24.9
Canada,CAN,2014,25.2
Poland,POL,2014,25.2
Albania,ALB,2014,25.5
Italy,ITA,2014,25.5
Mongolia,MNG,2014,25.5
Switzerland,CHE,2014,25.5
Armenia,ARM,2014,25.7
Liberia,LBR,2014,26.0
Spain,ESP,2014,26.0
France,FRA,2014,26.1
Greece,GRC,2014,26.1
United Kingdom,GBR,2014,26.1
Estonia,EST,2014,26.3
Latvia,LVA,2014,26.6
Vietnam,VNM,2014,26.8
Montenegro,MNE,2014,26.9
Australia,AUS,2014,27.0
Niger,NER,2014,27.0
Portugal,PRT,2014,27.4
Sudan,SDN,2014,27.8
Israel,ISR,2014,28.2
Georgia,GEO,2014,28.6
Serbia,SRB,2014,28.6
Thailand,THA,2014,28.7
Bulgaria,BGR,2014,28.8
Cyprus,CYP,2014,28.8
Lithuania,LTU,2014,28.9
"Yemen, Rep.",YEM,2014,29.4
Burkina Faso,BFA,2014,29.6
China,CHN,2014,29.7
"Iran, Islamic Rep.",IRN,2014,29.8
Uruguay,URY,2014,29.8
Argentina,ARG,2014,29.9
United States,USA,2014,30.6
Turkey,TUR,2014,31.6
Indonesia,IDN,2014,31.8
Russian Federation,RUS,2014,31.9
El Salvador,SLV,2014,32.2
Peru,PER,2014,32.2
Dominican Republic,DOM,2014,33.4
Comoros,COM,2014,33.7
Ecuador,ECU,2014,34.4
Cameroon,CMR,2014,35.0
Bolivia,BOL,2014,36.0
Costa Rica,CRI,2014,36.9
Nicaragua,NIC,2014,37.2
Honduras,HND,2014,37.4
Guatemala,GTM,2014,38.0
Panama,PAN,2014,38.5
Mexico,MEX,2014,39.5
Paraguay,PRY,2014,40.7
Brazil,BRA,2014,41.2
Colombia,COL,2014,41.4
Mozambique,MOZ,2014,45.5
South Africa,ZAF,2014,50.5
Slovak Republic,SVK,2015,20.9
Slovenia,SVN,2015,21.1
Belarus,BLR,2015,21.2
Kosovo,XKX,2015,21.5
Ukraine,UKR,2015,21.6
Czech Republic,CZE,2015,22.1
Belgium,BEL,2015,22.2
Norway,NOR,2015,22.3
Finland,FIN,2015,22.4
Iceland,ISL,2015,22.5
Moldova,MDA,2015,22.5
Kazakhstan,KAZ,2015,22.6
Sweden,SWE,2015,22.9
Netherlands,NLD,2015,23.0
Croatia,HRV,2015,23.2
Malta,MLT,2015,23.6
Austria,AUT,2015,23.8
Denmark,DNK,2015,23.8
Hungary,HUN,2015,23.8
Poland,POL,2015,24.2
Estonia,EST,2015,24.4
Germany,DEU,2015,24.8
Kyrgyz Republic,KGZ,2015,24.8
North Macedonia,MKD,2015,24.8
Romania,ROU,2015,24.8
Albania,ALB,2015,24.9
Luxembourg,LUX,2015,25.1
Switzerland,CHE,2015,25.2
Ireland,IRL,2015,25.4
United Kingdom,GBR,2015,25.4
Canada,CAN,2015,25.5
Tunisia,TUN,2015,25.6
Italy,ITA,2015,25.8
Greece,GRC,2015,26.2
Latvia,LVA,2015,26.2
Spain,ESP,2015,26.2
Tajikistan,TJK,2015,26.4
France,FRA,2015,26.6
Armenia,ARM,2015,26.7
Portugal,PRT,2015,27.3
Cyprus,CYP,2015,27.5
Montenegro,MNE,2015,27.7
"Egypt, Arab Rep.",EGY,2015,27.8
Georgia,GEO,2015,27.8
Pakistan,PAK,2015,28.0
Thailand,THA,2015,28.4
Ethiopia,ETH,2015,28.5
Lithuania,LTU,2015,28.6
Bulgaria,BGR,2015,28.7
"Gambia, The",GMB,2015,28.7
Serbia,SRB,2015,29.2
China,CHN,2015,29.4
Russian Federation,RUS,2015,29.7
Tonga,TON,2015,29.7
Uruguay,URY,2015,29.8
United States,USA,2015,30.5
"Iran, Islamic Rep.",IRN,2015,30.6
Malaysia,MYS,2015,31.3
Kenya,KEN,2015,31.6
Togo,TGO,2015,31.6
Myanmar,MMR,2015,31.7
El Salvador,SLV,2015,31.8
Cote d'Ivoire,CIV,2015,31.9
Cabo Verde,CPV,2015,32.3
Indonesia,IDN,2015,32.4
Peru,PER,2015,32.6
Turkey,TUR,2015,33.5
Bolivia,BOL,2015,34.8
Dominican Republic,DOM,2015,34.9
Ecuador,ECU,2015,34.9
Philippines,PHL,2015,34.9
Chile,CHL,2015,36.1
Honduras,HND,2015,36.6
Paraguay,PRY,2015,36.7
Costa Rica,CRI,2015,36.8
Benin,BEN,2015,37.6
Panama,PAN,2015,39.0
Colombia,COL,2015,39.9
Brazil,BRA,2015,40.9
Botswana,BWA,2015,41.5
Zambia,ZMB,2015,44.4
Namibia,NAM,2015,47.3
Slovak Republic,SVK,2016,19.9
Slovenia,SVN,2016,20.6
Ukraine,UKR,2016,21.2
Belarus,BLR,2016,21.3
Kosovo,XKX,2016,21.8
Czech Republic,CZE,2016,21.9
Belgium,BEL,2016,22.2
Finland,FIN,2016,22.4
Kazakhstan,KAZ,2016,22.7
Moldova,MDA,2016,22.7
Iceland,ISL,2016,22.8
Kyrgyz Republic,KGZ,2016,22.9
Netherlands,NLD,2016,22.9
Estonia,EST,2016,23.1
Malta,MLT,2016,23.1
Norway,NOR,2016,23.1
Croatia,HRV,2016,23.2
Sweden,SWE,2016,23.3
Denmark,DNK,2016,23.7
Romania,ROU,2016,23.7
Hungary,HUN,2016,23.8
Austria,AUT,2016,23.9
"Korea, Rep.",KOR,2016,24.0
Luxembourg,LUX,2016,24.1
North Macedonia,MKD,2016,24.1
Germany,DEU,2016,24.6
Poland,POL,2016,24.6
Albania,ALB,2016,25.0
Canada,CAN,2016,25.0
Maldives,MDV,2016,25.2
West Bank and Gaza,PSE,2016,25.2
Armenia,ARM,2016,25.3
Mongolia,MNG,2016,25.6
Latvia,LVA,2016,25.8
Switzerland,CHE,2016,25.8
France,FRA,2016,25.9
Greece,GRC,2016,25.9
Ireland,IRL,2016,25.9
Spain,ESP,2016,25.9
Italy,ITA,2016,26.0
Bangladesh,BGD,2016,26.8
Cyprus,CYP,2016,26.8
United Kingdom,GBR,2016,26.8
Liberia,LBR,2016,27.1
Vietnam,VNM,2016,27.1
Serbia,SRB,2016,27.3
Portugal,PRT,2016,27.6
Israel,ISR,2016,27.8
Montenegro,MNE,2016,27.8
Georgia,GEO,2016,28.2
Russian Federation,RUS,2016,28.6
Thailand,THA,2016,28.9
China,CHN,2016,29.4
Lithuania,LTU,2016,29.6
Uruguay,URY,2016,29.6
Argentina,ARG,2016,30.4
United States,USA,2016,30.4
Indonesia,IDN,2016,30.5
El Salvador,SLV,2016,30.6
"Iran, Islamic Rep.",IRN,2016,30.8
Bulgaria,BGR,2016,31.4
Turkey,TUR,2016,32.1
Ghana,GHA,2016,32.2
Bolivia,BOL,2016,32.4
Peru,PER,2016,32.6
Sri Lanka,LKA,2016,32.6
Uganda,UGA,2016,34.2
Ecuador,ECU,2016,34.3
Dominican Republic,DOM,2016,35.4
Rwanda,RWA,2016,35.6
Honduras,HND,2016,36.0
Mexico,MEX,2016,36.9
Costa Rica,CRI,2016,37.3
Paraguay,PRY,2016,37.3
Panama,PAN,2016,37.9
Malawi,MWI,2016,38.1
St. Lucia,LCA,2016,38.6
Colombia,COL,2016,39.8
Brazil,BRA,2016,42.0
Eswatini,SWZ,2016,42.7
Slovenia,SVN,2017,20.4
Belarus,BLR,2017,21.3
Czech Republic,CZE,2017,21.5
Norway,NOR,2017,21.6
Moldova,MDA,2017,21.7
Ukraine,UKR,2017,21.7
Belgium,BEL,2017,22.0
Iceland,ISL,2017,22.1
Sweden,SWE,2017,22.3
Estonia,EST,2017,22.5
Finland,FIN,2017,22.6
Croatia,HRV,2017,22.8
Austria,AUT,2017,23.0
Kazakhstan,KAZ,2017,23.0
Kyrgyz Republic,KGZ,2017,23.3
Malta,MLT,2017,23.3
Netherlands,NLD,2017,23.3
Poland,POL,2017,23.5
North Macedonia,MKD,2017,23.8
Hungary,HUN,2017,23.9
Denmark,DNK,2017,24.0
Kosovo,XKX,2017,24.6
Albania,ALB,2017,24.8
Romania,ROU,2017,24.9
Canada,CAN,2017,25.3
Ireland,IRL,2017,25.4
Spain,ESP,2017,25.4
Cyprus,CYP,2017,25.5
Myanmar,MMR,2017,25.5
Switzerland,CHE,2017,25.5
Luxembourg,LUX,2017,25.6
Serbia,SRB,2017,25.6
France,FRA,2017,25.8
Greece,GRC,2017,25.9
Italy,ITA,2017,26.7
Portugal,PRT,2017,26.7
United Kingdom,GBR,2017,26.7
"Egypt, Arab Rep.",EGY,2017,26.9
Latvia,LVA,2017,26.9
Gabon,GAB,2017,27.7
Bhutan,BTN,2017,27.9
Armenia,ARM,2017,28.4
Lithuania,LTU,2017,28.4
Thailand,THA,2017,28.4
Georgia,GEO,2017,28.9
El Salvador,SLV,2017,29.1
Russian Federation,RUS,2017,29.2
Indonesia,IDN,2017,29.6
Uruguay,URY,2017,29.6
Argentina,ARG,2017,29.7
Mauritius,MUS,2017,29.9
United States,USA,2017,30.3
"Iran, Islamic Rep.",IRN,2017,31.3
Bulgaria,BGR,2017,31.9
Turkey,TUR,2017,31.9
Bolivia,BOL,2017,32.0
Djibouti,DJI,2017,32.3
Peru,PER,2017,32.3
Lesotho,LSO,2017,32.9
Tanzania,TZA,2017,33.1
Dominican Republic,DOM,2017,33.5
Ecuador,ECU,2017,33.8
Zimbabwe,ZWE,2017,34.8
Chile,CHL,2017,36.3
Honduras,HND,2017,36.6
Costa Rica,CRI,2017,37.0
Panama,PAN,2017,37.7
Colombia,COL,2017,39.0
Paraguay,PRY,2017,39.1
Brazil,BRA,2017,42.0
Sao Tome and Principe,STP,2017,49.1
Slovak Republic,SVK,2018,19.5
United Arab Emirates,ARE,2018,20.0
Slovenia,SVN,2018,21.0
Belarus,BLR,2018,21.4
Czech Republic,CZE,2018,21.5
Moldova,MDA,2018,22.0
Ukraine,UKR,2018,22.0
Belgium,BEL,2018,22.2
Norway,NOR,2018,22.2
Estonia,EST,2018,22.4
Finland,FIN,2018,22.6
Croatia,HRV,2018,22.7
Malta,MLT,2018,22.9
North Macedonia,MKD,2018,22.9
Sweden,SWE,2018,22.9
Netherlands,NLD,2018,23.0
Hungary,HUN,2018,23.2
Denmark,DNK,2018,23.5
Kazakhstan,KAZ,2018,23.5
Kyrgyz Republic,KGZ,2018,23.6
Austria,AUT,2018,23.9
Poland,POL,2018,24.0
Seychelles,SYC,2018,24.0
Greece,GRC,2018,24.9
Romania,ROU,2018,24.9
Spain,ESP,2018,25.3
Mongolia,MNG,2018,25.7
Switzerland,CHE,2018,25.8
Luxembourg,LUX,2018,26.6
Portugal,PRT,2018,26.6
France,FRA,2018,26.7
Nigeria,NGA,2018,26.7
Latvia,LVA,2018,26.9
Pakistan,PAK,2018,26.9
Lithuania,LTU,2018,27.1
Cyprus,CYP,2018,27.2
Georgia,GEO,2018,27.5
Vietnam,VNM,2018,27.5
Thailand,THA,2018,28.2
Armenia,ARM,2018,29.2
Indonesia,IDN,2018,29.3
El Salvador,SLV,2018,29.4
Sierra Leone,SLE,2018,29.4
Uruguay,URY,2018,29.7
Argentina,ARG,2018,29.9
Russian Federation,RUS,2018,29.9
Bolivia,BOL,2018,30.6
United States,USA,2018,30.8
Lao PDR,LAO,2018,31.3
Peru,PER,2018,31.6
"Iran, Islamic Rep.",IRN,2018,32.5
Bulgaria,BGR,2018,32.6
Turkey,TUR,2018,32.6
Philippines,PHL,2018,33.5
Ecuador,ECU,2018,34.4
Dominican Republic,DOM,2018,35.2
Honduras,HND,2018,35.3
Paraguay,PRY,2018,35.8
Costa Rica,CRI,2018,36.3
Mexico,MEX,2018,36.4
Panama,PAN,2018,37.1
Angola,AGO,2018,39.6
Colombia,COL,2018,39.7
Brazil,BRA,2018,42.5
Belarus,BLR,2019,21.3
Ukraine,UKR,2019,22.3
Armenia,ARM,2019,25.1
Kyrgyz Republic,KGZ,2019,25.8
Thailand,THA,2019,27.2
Georgia,GEO,2019,27.6
Uruguay,URY,2019,29.7
El Salvador,SLV,2019,29.8
Indonesia,IDN,2019,29.9
Bolivia,BOL,2019,30.8
Argentina,ARG,2019,31.0
Peru,PER,2019,31.1
Turkey,TUR,2019,31.6
Dominican Republic,DOM,2019,33.1
Ecuador,ECU,2019,34.5
Honduras,HND,2019,34.7
Paraguay,PRY,2019,35.2
Costa Rica,CRI,2019,36.7
Panama,PAN,2019,38.0
Colombia,COL,2019,40.3
Brazil,BRA,2019,42.0
